country,continent,iso3,notes
Algeria,Africa,DZA,Fiscal consolidation cut the deficit through spending restraint. Pension reform introduced a mandatory funded pillar. Privatisation of state enterprises accelerated after the election.
Argentina,Americas,ARG,Labour market reform relaxed employment protection. Pension reform introduced a mandatory funded pillar.
Bahrain,Asia,BHR,Privatisation of state enterprises accelerated after the election. Inflation targeting replaced the exchange rate peg.
Bangladesh,Asia,BGD,Labour market reform relaxed employment protection. A commodity boom raised export revenue and public spending. A banking crisis triggered recapitalisation and tighter supervision.
Belgium,Europe,BEL,A commodity boom raised export revenue and public spending. A banking crisis triggered recapitalisation and tighter supervision. Labour market reform relaxed employment protection.
Bolivia,Americas,BOL,Pension reform introduced a mandatory funded pillar. Tax reform lowered the corporate rate and broadened the base. Labour market reform relaxed employment protection. Privatisation of state enterprises accelerated after the election.
Burkina Faso,Africa,BFA,Privatisation of state enterprises accelerated after the election. Inflation targeting replaced the exchange rate peg. Fiscal consolidation cut the deficit through spending restraint. Currency devaluation followed a sudden stop in capital inflows.
Burundi,Africa,BDI,Pension reform introduced a mandatory funded pillar. Fiscal consolidation cut the deficit through spending restraint.
Comoros,Africa,COM,Currency devaluation followed a sudden stop in capital inflows. Privatisation of state enterprises accelerated after the election.
"Congo, Rep.",Africa,COG,Currency devaluation followed a sudden stop in capital inflows. Trade liberalisation removed tariffs on manufactured imports. Privatisation of state enterprises accelerated after the election.
Cote d'Ivoire,Africa,CIV,A banking crisis triggered recapitalisation and tighter supervision. Labour market reform relaxed employment protection.
Czech Republic,Europe,CZE,Fiscal consolidation cut the deficit through spending restraint. Currency devaluation followed a sudden stop in capital inflows.
Denmark,Europe,DNK,Inflation targeting replaced the exchange rate peg. A banking crisis triggered recapitalisation and tighter supervision.
Djibouti,Africa,DJI,Labour market reform relaxed employment protection. Currency devaluation followed a sudden stop in capital inflows. A banking crisis triggered recapitalisation and tighter supervision.
Ecuador,Americas,ECU,A banking crisis triggered recapitalisation and tighter supervision. Fiscal consolidation cut the deficit through spending restraint.
Eritrea,Africa,ERI,A banking crisis triggered recapitalisation and tighter supervision. Currency devaluation followed a sudden stop in capital inflows. Trade liberalisation removed tariffs on manufactured imports.
Finland,Europe,FIN,Fiscal consolidation cut the deficit through spending restraint. A banking crisis triggered recapitalisation and tighter supervision.
France,Europe,FRA,Pension reform introduced a mandatory funded pillar. Tax reform lowered the corporate rate and broadened the base.
Gambia,Africa,GMB,Tax reform lowered the corporate rate and broadened the base. A commodity boom raised export revenue and public spending. Currency devaluation followed a sudden stop in capital inflows. Fiscal consolidation cut the deficit through spending restraint.
Germany,Europe,DEU,Labour market reform relaxed employment protection. A banking crisis triggered recapitalisation and tighter supervision. Currency devaluation followed a sudden stop in capital inflows.
Greece,Europe,GRC,Trade liberalisation removed tariffs on manufactured imports. A commodity boom raised export revenue and public spending. A banking crisis triggered recapitalisation and tighter supervision. Privatisation of state enterprises accelerated after the election.
Guinea,Africa,GIN,Pension reform introduced a mandatory funded pillar. Trade liberalisation removed tariffs on manufactured imports. A banking crisis triggered recapitalisation and tighter supervision. Labour market reform relaxed employment protection.
Haiti,Americas,NA,A banking crisis triggered recapitalisation and tighter supervision. Tax reform lowered the corporate rate and broadened the base.
"Hong Kong, China",Asia,HKG,Tax reform lowered the corporate rate and broadened the base. Privatisation of state enterprises accelerated after the election.
Iceland,Europe,ISL,Fiscal consolidation cut the deficit through spending restraint. Inflation targeting replaced the exchange rate peg.
Iran,Asia,IRN,Privatisation of state enterprises accelerated after the election. A commodity boom raised export revenue and public spending. Fiscal consolidation cut the deficit through spending restraint.
Ireland,Europe,IRL,Fiscal consolidation cut the deficit through spending restraint. Privatisation of state enterprises accelerated after the election.
Israel,Asia,ISR,Pension reform introduced a mandatory funded pillar. A commodity boom raised export revenue and public spending. A banking crisis triggered recapitalisation and tighter supervision.
Jamaica,Americas,JAM,Labour market reform relaxed employment protection. Inflation targeting replaced the exchange rate peg. Fiscal consolidation cut the deficit through spending restraint.
Jordan,Asia,JOR,Pension reform introduced a mandatory funded pillar. Labour market reform relaxed employment protection. A banking crisis triggered recapitalisation and tighter supervision.
Kenya,Africa,KEN,Pension reform introduced a mandatory funded pillar. Currency devaluation followed a sudden stop in capital inflows.
"Korea, Rep.",Asia,KOR,Tax reform lowered the corporate rate and broadened the base. Pension reform introduced a mandatory funded pillar. Fiscal consolidation cut the deficit through spending restraint.
Lebanon,Asia,LBN,Labour market reform relaxed employment protection. Fiscal consolidation cut the deficit through spending restraint. A banking crisis triggered recapitalisation and tighter supervision.
Malaysia,Asia,MYS,Pension reform introduced a mandatory funded pillar. Tax reform lowered the corporate rate and broadened the base.
Mauritius,Africa,MUS,A commodity boom raised export revenue and public spending. A banking crisis triggered recapitalisation and tighter supervision.
Myanmar,Asia,MMR,Privatisation of state enterprises accelerated after the election. Pension reform introduced a mandatory funded pillar. Labour market reform relaxed employment protection.
Netherlands,Europe,NLD,Inflation targeting replaced the exchange rate peg. Privatisation of state enterprises accelerated after the election.
Nicaragua,Americas,NIC,Currency devaluation followed a sudden stop in capital inflows. Inflation targeting replaced the exchange rate peg. A commodity boom raised export revenue and public spending. Pension reform introduced a mandatory funded pillar.
Nigeria,Africa,NGA,Tax reform lowered the corporate rate and broadened the base. Labour market reform relaxed employment protection. Inflation targeting replaced the exchange rate peg.
Pakistan,Asia,PAK,Trade liberalisation removed tariffs on manufactured imports. A commodity boom raised export revenue and public spending. Privatisation of state enterprises accelerated after the election. Tax reform lowered the corporate rate and broadened the base.
Panama,Americas,PAN,Privatisation of state enterprises accelerated after the election. Fiscal consolidation cut the deficit through spending restraint. A banking crisis triggered recapitalisation and tighter supervision.
Paraguay,Americas,PRY,Tax reform lowered the corporate rate and broadened the base. A banking crisis triggered recapitalisation and tighter supervision.
Peru,Americas,PER,Privatisation of state enterprises accelerated after the election. Labour market reform relaxed employment protection. Currency devaluation followed a sudden stop in capital inflows. Trade liberalisation removed tariffs on manufactured imports.
Portugal,Europe,PRT,Pension reform introduced a mandatory funded pillar. Inflation targeting replaced the exchange rate peg. A banking crisis triggered recapitalisation and tighter supervision. Tax reform lowered the corporate rate and broadened the base.
Rwanda,Africa,RWA,Pension reform introduced a mandatory funded pillar. Fiscal consolidation cut the deficit through spending restraint. Currency devaluation followed a sudden stop in capital inflows.
Saudi Arabia,Asia,NA,Tax reform lowered the corporate rate and broadened the base. Pension reform introduced a mandatory funded pillar. A commodity boom raised export revenue and public spending.
Senegal,Africa,SEN,Inflation targeting replaced the exchange rate peg. Currency devaluation followed a sudden stop in capital inflows. A banking crisis triggered recapitalisation and tighter supervision.
Sierra Leone,Africa,SLE,Trade liberalisation removed tariffs on manufactured imports. A commodity boom raised export revenue and public spending. Privatisation of state enterprises accelerated after the election.
Spain,Europe,ESP,Trade liberalisation removed tariffs on manufactured imports. Tax reform lowered the corporate rate and broadened the base. Labour market reform relaxed employment protection. Pension reform introduced a mandatory funded pillar.
Sri Lanka,Asia,LKA,Fiscal consolidation cut the deficit through spending restraint. A commodity boom raised export revenue and public spending.
Sudan,Africa,SDN,Inflation targeting replaced the exchange rate peg. Trade liberalisation removed tariffs on manufactured imports.
Taiwan,Asia,TWN,Labour market reform relaxed employment protection. A banking crisis triggered recapitalisation and tighter supervision. Fiscal consolidation cut the deficit through spending restraint. Currency devaluation followed a sudden stop in capital inflows.
Tanzania,Africa,NA,Currency devaluation followed a sudden stop in capital inflows. A banking crisis triggered recapitalisation and tighter supervision.
Thailand,Asia,THA,Privatisation of state enterprises accelerated after the election. Tax reform lowered the corporate rate and broadened the base.
Togo,Africa,TGO,Trade liberalisation removed tariffs on manufactured imports. Inflation targeting replaced the exchange rate peg. Tax reform lowered the corporate rate and broadened the base.
Turkey,Europe,TUR,Labour market reform relaxed employment protection. Currency devaluation followed a sudden stop in capital inflows. Fiscal consolidation cut the deficit through spending restraint. Pension reform introduced a mandatory funded pillar.
Uganda,Africa,UGA,Tax reform lowered the corporate rate and broadened the base. Currency devaluation followed a sudden stop in capital inflows. A banking crisis triggered recapitalisation and tighter supervision.
Venezuela,Americas,VEN,Trade liberalisation removed tariffs on manufactured imports. Currency devaluation followed a sudden stop in capital inflows. Tax reform lowered the corporate rate and broadened the base. Privatisation of state enterprises accelerated after the election.
"Yemen, Rep.",Asia,YEM,Tax reform lowered the corporate rate and broadened the base. Pension reform introduced a mandatory funded pillar.
Zimbabwe,Africa,ZWE,A banking crisis triggered recapitalisation and tighter supervision. Privatisation of state enterprises accelerated after the election. Trade liberalisation removed tariffs on manufactured imports.
